text,intent,sentiment
Great job team,provide_feedback_on_service,positive
Highly satisfied,provide_feedback_on_service,positive
Everything was perfect,provide_feedback_on_service,positive
Couldn't be happier,provide_feedback_on_service,positive
Terrible service very disappointed,provide_feedback_on_service,negative
Worst delivery experience ever,provide_feedback_on_service,negative
I'm extremely unhappy with this service,provide_feedback_on_service,negative
Horrible customer service,provide_feedback_on_service,negative
Very poor service,provide_feedback_on_service,negative
Absolutely terrible,provide_feedback_on_service,negative
Worst experience,provide_feedback_on_service,negative
Completely dissatisfied,provide_feedback_on_service,negative
Unacceptable service,provide_feedback_on_service,negative
Really bad experience,provide_feedback_on_service,negative
Very disappointing service,provide_feedback_on_service,negative
Poor customer service,provide_feedback_on_service,negative
Not happy at all,provide_feedback_on_service,negative
Terrible experience,provide_feedback_on_service,negative
Awful service,provide_feedback_on_service,negative
This is unacceptable,provide_feedback_on_service,negative
Very bad service,provide_feedback_on_service,negative
Extremely poor,provide_feedback_on_service,negative
Worst ever,provide_feedback_on_service,negative
Never ordering again,provide_feedback_on_service,negative
Good service,provide_feedback_on_service,positive
Nice delivery,provide_feedback_on_service,positive
Happy with service,provide_feedback_on_service,positive
Satisfied,provide_feedback_on_service,positive
Pretty good,provide_feedback_on_service,positive
Decent service,provide_feedback_on_service,positive
Okay service,provide_feedback_on_service,neutral
Average delivery,provide_feedback_on_service,neutral
Normal service,provide_feedback_on_service,neutral
Standard delivery,provide_feedback_on_service,neutral
It was fine,provide_feedback_on_service,neutral
Acceptable,provide_feedback_on_service,neutral
Track my order ORD123456,track_order,neutral
Where is order ORD789012?,track_order,neutral
Status of ORD345678,track_order,neutral
Check order number ORD901234,track_order,neutral
My order number is ORD567890,track_order,neutral
Looking for order ORD234567,track_order,neutral
I want to track order #12345,track_order,neutral
Order ID: 98765,track_order,neutral
Please find my order 11223,track_order,neutral
Tracking number?,track_order,neutral
What's my tracking ID?,track_order,neutral
Can I get a tracking number?,track_order,neutral
Send me tracking info,track_order,neutral
Tracking link please,track_order,neutral
I haven't received my order yet,track_order,negative
Package not here,track_order,negative
Order didn't arrive,track_order,negative
Missing delivery,track_order,negative
No package received,track_order,negative
I want a refund for order ORD123,request_refund,negative
Cancel order number ORD456,request_refund,negative
Refund for ORD789 please,request_refund,negative
Cancel this ORD321,request_refund,negative
I need refund on order 654,request_refund,negative
My delivery hasn't arrived in 2 weeks,report_delivery_delay,negative
Order is 10 days late,report_delivery_delay,negative
Still waiting after 3 weeks,report_delivery_delay,negative
Package is 5 days overdue,report_delivery_delay,negative
Expected it last Monday,report_delivery_delay,negative
Should have arrived on the 5th,report_delivery_delay,negative
Past the delivery window,report_delivery_delay,negative
It's been over a month,report_delivery_delay,negative
Two weeks and still nothing,report_delivery_delay,negative
Waiting for 12 days now,report_delivery_delay,negative
Order stuck somewhere,report_delivery_delay,negative
Package hasn't moved in days,report_delivery_delay,negative
Tracking shows no updates,report_delivery_delay,negative
No movement on tracking,report_delivery_delay,negative
Package stuck in transit,report_delivery_delay,negative
Delivery stuck,report_delivery_delay,negative
Not moving,report_delivery_delay,negative
Seems stuck,report_delivery_delay,negative
Package lost?,track_order,negative
Is my package lost?,track_order,negative
I think my order is lost,track_order,negative
Lost package?,track_order,negative
Missing package,track_order,negative
Can't find my order,track_order,negative
Order appears to be lost,track_order,negative
Where did my package go?,track_order,negative
Package disappeared,track_order,negative
Lost in transit?,track_order,negative
Received empty box,report_order_content_issue,negative
Box was empty,report_order_content_issue,negative
Nothing in the package,report_order_content_issue,negative
Package came empty,report_order_content_issue,negative
No items inside,report_order_content_issue,negative
Only received 2 out of 5 items,report_order_content_issue,negative
Missing 3 products,report_order_content_issue,negative
Half the items missing,report_order_content_issue,negative
Only got part of order,report_order_content_issue,negative
Incomplete delivery,report_order_content_issue,negative
Package was tampered with,report_order_content_issue,negative
Box was opened,report_order_content_issue,negative
Package looked used,report_order_content_issue,negative
Seal was broken,report_order_content_issue,negative
Tampered package,report_order_content_issue,negative
Item is expired,report_order_content_issue,negative
Product is past expiry date,report_order_content_issue,negative
Received expired goods,report_order_content_issue,negative
Expiry date has passed,report_order_content_issue,negative
This is expired,report_order_content_issue,negative
I ordered blue but got red,report_order_content_issue,negative
Wrong color,report_order_content_issue,negative
Ordered large got small,report_order_content_issue,negative
Wrong size sent,report_order_content_issue,negative
Not the right variant,report_order_content_issue,negative
Got the 32GB instead of 64GB,report_order_content_issue,negative
Wrong model,report_order_content_issue,negative
Different product altogether,report_order_content_issue,negative
This is a completely different item,report_order_content_issue,negative
Not even close to what I ordered,report_order_content_issue,negative
Screen is cracked,report_order_content_issue,negative
Product won't turn on,report_order_content_issue,negative
Doesn't work,report_order_content_issue,negative
Defective item,report_order_content_issue,negative
Broken on arrival,report_order_content_issue,negative
Item is faulty,report_order_content_issue,negative
Not working properly,report_order_content_issue,negative
Malfunctioning product,report_order_content_issue,negative
Product has a defect,report_order_content_issue,negative
Quality is terrible,report_order_content_issue,negative
Poor quality,report_order_content_issue,negative
Low quality product,report_order_content_issue,negative
Cheaply made,report_order_content_issue,negative
Bad quality,report_order_content_issue,negative
Product quality is poor,report_order_content_issue,negative
Fast delivery loved it,provide_feedback_on_service,positive
Arrived early thanks!,provide_feedback_on_service,positive
Quick shipping,provide_feedback_on_service,positive
Came faster than expected,provide_feedback_on_service,positive
Super fast delivery,provide_feedback_on_service,positive
Delivery was very quick,provide_feedback_on_service,positive
Impressed by the speed,provide_feedback_on_service,positive
Arrived ahead of schedule,provide_feedback_on_service,positive
Lightning fast delivery,provide_feedback_on_service,positive
Got it sooner than expected,provide_feedback_on_service,positive
Delivery guy was very polite,provide_feedback_on_service,positive
Nice delivery person,provide_feedback_on_service,positive
Friendly driver,provide_feedback_on_service,positive
Very professional delivery,provide_feedback_on_service,positive
Courteous delivery agent,provide_feedback_on_service,positive
Helpful delivery person,provide_feedback_on_service,positive
Rude delivery person,provide_feedback_on_service,negative
Driver was unprofessional,provide_feedback_on_service,negative
Delivery guy was rude,provide_feedback_on_service,negative
Very rude staff,provide_feedback_on_service,negative
Unprofessional delivery,provide_feedback_on_service,negative
Bad attitude from driver,provide_feedback_on_service,negative
Package well packaged,provide_feedback_on_service,positive
Great packaging,provide_feedback_on_service,positive
Items packed carefully,provide_feedback_on_service,positive
Well protected,provide_feedback_on_service,positive
Excellent packaging,provide_feedback_on_service,positive
Securely packed,provide_feedback_on_service,positive
Poor packaging,provide_feedback_on_service,negative
Bad packaging,provide_feedback_on_service,negative
Items not protected,provide_feedback_on_service,negative
Packaging was terrible,provide_feedback_on_service,negative
Not packed properly,provide_feedback_on_service,negative
Sloppy packaging,provide_feedback_on_service,negative
Will order again,provide_feedback_on_service,positive
Definitely ordering more,provide_feedback_on_service,positive
Happy customer here,provide_feedback_on_service,positive
Recommended,provide_feedback_on_service,positive
Five stars,provide_feedback_on_service,positive
10/10,provide_feedback_on_service,positive
Highly recommend,provide_feedback_on_service,positive
Would buy again,provide_feedback_on_service,positive
Great experience overall,provide_feedback_on_service,positive
Very pleased,provide_feedback_on_service,positive
Never buying again,provide_feedback_on_service,negative
Won't recommend,provide_feedback_on_service,negative
Do not order from here,provide_feedback_on_service,negative
Worst company,provide_feedback_on_service,negative
Avoid this place,provide_feedback_on_service,negative
Not recommended,provide_feedback_on_service,negative
One star,provide_feedback_on_service,negative
0/10,provide_feedback_on_service,negative
Waste of money,provide_feedback_on_service,negative
Regret this purchase,provide_feedback_on_service,negative
